time,x1,y1,z1,a1,e1 ,r1,x2,y2,z2,a2,e2,r2,x3,y3,z3,a3,e3,r3,x4,y4,z4,a4,e4,r4,V0,V1,V2,V3,V4,V5
140.0004,5.563476563,12.69140625,2.522460938,36.01318359,88.08837891,-80.15625,14.06689453,4.697753906,-0.145019531,157.2363281,11.38183594,54.90966797,10.8984375,6.420410156,-0.377929688,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399658218,0.565677598,-0.243342672,0.641877899,-0.080890088,0.480722368
150.0004,5.563476563,12.69140625,2.522460938,36.03515625,88.08837891,-80.11230469,14.06689453,4.697753906,-0.145019531,157.2363281,11.38183594,54.90966797,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565353341,-0.243991186,0.641877899,-0.080241575,0.480722368
160.0005,5.563476563,12.69140625,2.522460938,36.07910156,88.08837891,-80.06835938,14.06689453,4.697753906,-0.145019531,157.2363281,11.38183594,54.90966797,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399658218,0.565677598,-0.244315442,0.641877899,-0.081214345,0.480398112
170.0005,5.567871094,12.69140625,2.522460938,36.12304688,88.08837891,-80.02441406,14.06689453,4.697753906,-0.145019531,157.2363281,11.38183594,54.90966797,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565353341,-0.243342672,0.642202155,-0.081214345,0.480722368
180.0005,5.567871094,12.69140625,2.522460938,36.16699219,88.08837891,-79.98046875,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565353341,-0.243018416,0.641229386,-0.081862858,0.480398112
190.0005,5.567871094,12.69140625,2.522460938,36.18896484,88.08837891,-79.93652344,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565353341,-0.243018416,0.641877899,-0.081214345,0.480722368
200.0005,5.567871094,12.69140625,2.522460938,36.23291016,88.08837891,-79.91455078,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399009705,0.565029084,-0.242369902,0.641553642,-0.081862858,0.480398112
210.0005,5.567871094,12.69140625,2.522460938,36.23291016,88.08837891,-79.91455078,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565029084,-0.242045646,0.641229386,-0.082187115,0.480073855
220.0006,5.567871094,12.69140625,2.522460938,36.2109375,88.08837891,-79.93652344,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.377929688,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.564704828,-0.242694159,0.640905129,-0.081862858,0.480722368
230.0006,5.567871094,12.69140625,2.522460938,36.16699219,88.08837891,-79.95849609,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.377929688,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565029084,-0.242694159,0.640905129,-0.081862858,0.480722368
240.0007,5.567871094,12.69140625,2.522460938,36.12304688,88.08837891,-80.00244141,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399009705,0.564704828,-0.242045646,0.640905129,-0.082187115,0.480073855
